"Date","Price","Open","High","Low","Vol.","Change %"
"04-02-2022","329.65","325.00","330.90","321.85","826.83K","1.96%"
"03-02-2022","323.30","321.85","326.50","321.00","619.74K","0.89%"
"02-02-2022","320.45","321.00","321.60","319.25","237.14K","0.77%"
"01-02-2022","318.00","316.60","318.75","314.75","336.32K","0.81%"
"31-01-2022","315.45","316.25","318.55","315.00","264.97K","0.03%"
"28-01-2022","315.35","314.95","319.40","314.40","377.82K","0.77%"
"27-01-2022","312.95","309.50","317.00","309.50","599.37K","0.22%"
"25-01-2022","312.25","314.10","319.50","308.00","707.51K","-1.36%"
"24-01-2022","316.55","326.60","326.70","312.50","697.30K","-2.90%"
"21-01-2022","326.00","322.20","329.40","316.80","2.23M","1.18%"
"20-01-2022","322.20","325.00","327.60","319.60","398.78K","-0.62%"
"19-01-2022","324.20","326.00","328.55","323.00","292.70K","-0.49%"
"18-01-2022","325.80","329.90","329.90","325.10","243.63K","-0.52%"
"17-01-2022","327.50","328.10","329.95","327.00","285.71K","-0.76%"
"14-01-2022","330.00","331.95","332.65","328.30","220.49K","-0.42%"
